"codepci","libepci","cat_cs3","cat_cs6","cat_cs7","cat_cs8"
"200069060","CC des Vosges du Sud",,,,
"200069086","CC Leff Armor Communauté",,,,
"200069094","CC Isle et Crempse-en-Périgord",,,"1_1","0_0"
"200069102","CC Randon - Margeride",,,"0_1",
"200069110","CA Chambéry Métropole-Coeur des Bauges",,,,"1_1"
"200069128","CC Mont Lozère",,"1_0","0_1","0_0"
"200069136","CC des Cévennes Au Mont Lozère",,"0_0",,"0_0"
"200069144","CC des Hautes Terres de l'Aubrac",,"1_0","0_1","0_0"
"200069151","CC Gorges Causses Cévennes",,"0_0","1_1","0_0"
"200069169","CC Dômes Sancy Artense",,,,
"200069177","CC Mond'Arverne Communauté",,,,"0_1"
"200069185","CC des Terres d'Apcher-Margeride-Aubrac",,"0_0","1_1","1_1"
"200069193","CC de la Dombes","1_1",,,"0_1"
"200069227","CC Pays Fort Sancerrois Val de Loire",,,,"0_0"
"200069235","CC du Haut Pays du Montreuillois","1_0",,,"0_1"
"200069250","CA Troyes Champagne Métropole",,,,"1_1"
"200069268","CC Aubrac Lot Causses Tarn",,"0_0",,"1_1"
"200069300","CA Tarbes-Lourdes-Pyrénées",,,,"1_1"
"200069383","CC du Grand Villefranchois",,"1_0","0_1",
"200069391","CC Lamballe Terre et Mer",,,,
"200069409","CA Saint-Brieuc Armor Agglomération",,,,
"200069417","CC Pays d'Orthe et Arrigans",,,,
"200069425","CA Mont-Saint-Michel-Normandie",,,,"0_0"
"200069433","CC de Vezouze en Piémont",,,"1_1",
"200069441","CC du Pays de Bitche",,,"1_0",
"200069458","CC des Vallées d'Auge et du Merlerault",,,"1_1","0_0"
"200069482","CC des Campagnes de l'Artois",,,,"0_1"
"200069516","CC Seulles Terre et Mer",,,"1_0","0_1"
"200069524","CC Pré-Bocage Intercom",,,"1_0","0_1"
"200069532","CA Lisieux Normandie",,"1_1",,
"200069540","CC Norge et Tille",,,,"0_1"
"200069565","CC des Lacs et Montagnes du Haut-Doubs",,"0_1",,
"200069581","CC Convergence Garonne",,,"0_0",
"200069599","CC Rurales de l'Entre-deux-Mers",,"1_1",,"0_0"
"200069615","CC Bresse Haute Seille",,,,"0_0"
"200069623","CC Champagnole Nozeroy Jura",,"1_1",,
"200069631","CC Terres de Chalosse",,,,"0_0"
"200069649","CC Chalosse Tursan",,,,"0_0"
"200069656","CC Coeur Haute Lande",,"1_1",,"0_0"
"200069664","CC Meuse Rognon",,"1_1","0_1","0_0"
"200069672","CC du Ternois",,,,"0_1"
"200069698","CC Mâconnais - Tournugeois",,,,"0_0"
"200069722","CC Interrégionale Aumale - Blangy-sur-Bresle",,"1_1",,
"200069730","CC des Quatre Rivières",,"1_1",,
"200069748","CC Val de Gâtine",,,"1_1","0_0"
"200069755","CC Mellois-en-Poitou",,,,
"200069763","CC du Haut-Poitou",,,,
"200069821","CA Fécamp Caux Littoral Agglomération",,,,
"200069839","CC de la Côte d'Albâtre",,,,
"200069847","CC Plateau de Caux-Doudeville-Yerville",,"1_1","1_0",
"200069854","CU du Grand-Poitiers","0_1",,"0_0","1_1"
"200069912","CC des Forêts du Perche",,,,
"200069953","CC des Portes Euréliennes d'Ile-de-France","1_1",,,
"200069961","CC du Grand Châteaudun",,,,
"200069995","CC Médoc Coeur de Presqu'ile",,,,"0_0"
"200070035","CC du Civraisien en Poitou",,,"1_1","0_0"
"200070043","CC Vienne et Gartempe",,,"1_1","0_0"
"200070068","CC Communauté Bray-Eawy",,,,
"200070092","CA du Libournais",,,,
"200070100","CC du Val de Sully",,,,
"200070118","CC Val de Saône Centre",,,"1_0","0_1"
"200070126","CC Seine et Aube","1_0",,,"0_0"
"200070142","CC Lyons Andelle",,,"1_0",
"200070159","CC Coeur de Beauce",,"1_1","0_0",
"200070167","CC Terres de Perche",,,,"0_0"
"200070183","CC des Terres du Val de Loire","1_1",,,
"200070233","CC Terres de Montaigu, Cc Montaigu-Rocheservière",,,"1_0",
"200070282","CC Lavalette Tude Dronne",,,"1_1","0_0"
"200070290","CC Pays de l'Audunois et du Bassin de Landres",,,,
"200070308","CA Mâconnais Beaujolais Agglomération",,,,
"200070316","CC Entre Arroux, Loire et Somme",,,"1_1","0_0"
"200070324","CC du Territoire de Lunéville à Baccarat",,,,
"200070332","CC du Pays de Chalindrey, de Vannier Amance et de la Région de Bourbonne-Les-Bains",,,,
"200070340","CC Haute-Maurienne Vanoise",,,,"0_0"
"200070365","CC Corbières Salanque Méditerranée",,"0_0",,"0_0"
"200070373","CC Loir-Lucé-Bercé",,,"1_1","0_0"
"200070407","CA Pays d'Issoire",,,,"0_0"
"200070431","CC Saint-Marcellin Vercors Isère Communauté",,,,
"200070449","CC Inter-Caux-Vexin","1_1","1_0","0_0","0_1"
"200070464","CC Coeur de Maurienne Arvan",,,,"0_0"
"200070506","CC Pays de Nexon Monts de Chalus",,,,
"200070514","CA du Grand Cognac",,,,"0_0"
"200070530","CC du Grand Autunois Morvan",,,"1_1","0_0"
"200070548","CC La Clayette Chauffailles en Brionnais","1_0",,"1_1","0_0"
"200070555","CC de la Veyle",,"1_1",,
"200070563","CC Terres Touloises",,,,"0_1"
"200070571","CC Coeur de Berry",,,,"0_0"
"200070589","CC de Seille et Grand Couronné",,"1_0",,"0_1"
"200070647","CA Bergeracoise",,,,"0_0"
"200070662","CC Bretagne Porte de Loire Communauté",,"1_1","1_0","0_1"
"200070670","CC du Pays de Dol et de la Baie du Mont-Saint-Michel",,,"1_1","0_0"
"200070688","CC Couesnon Marches de Bretagne","0_0","1_1",,"0_0"
"200070712","CC Thiers Dore et Montagne",,"1_1",,
"200070720","CC Médoc Atlantique",,"0_0","1_1","0_0"
"200070738","CC Mad et Moselle",,,"1_0",
"200070746","CA Sarreguemines Confluences",,"1_1",,
"200070753","CA Riom Limagne et Volcans",,,,"0_1"
"200070761","CC Ambert Livradois Forez",,,,"0_0"
"200070779","CC Brie des Rivières et Châteaux",,,"0_0","0_1"
"200070787","CC du Plateau de Lannemezan",,,"1_1","0_0"
"200070795","CC du Pays de Trie et du Magnoac",,,,"0_0"
"200070803","CC des Coteaux du Val-d'Arros",,"1_0",,
"200070811","CC Pyrénées Vallées des Gaves",,,"1_1","0_0"
"200070829","CC Neste Barousse",,"0_0","1_1",
"200070845","CC Orne Lorraine Confluences",,"1_1",,
"200070852","CC Usses et Rhône",,,"0_0",
"200070894","CC de Gevrey-Chambertin et de Nuits-Saint-Georges",,,,"0_1"
"200070902","CC Auxonne Pontailler Val de Saône",,,"0_0",
"200070910","CC Tille et Venelle",,,,
"200070928","CC Terre de Picardie","0_0","1_1","0_0",
"200070936","CC Ponthieu-Marquenterre",,,,
"200070944","CC du Vimeu",,"1_1",,"0_0"
"200070951","CC du Territoire Nord Picardie",,,,
"200070969","CC Avre Luce Noye",,,"0_0",
"200070977","CC du Grand Roye",,,,
"200070985","CC de l'Est de la Somme",,"0_1",,
"200070993","CA de la Baie de Somme",,,,"0_1"
"200071017","CC des Terres d'Auxois",,,,"0_0"
"200071025","CC Haute-Provence-Pays de Banon",,"1_0","0_1","0_0"
"200071033","CC Jabron-Lure-Vançon-Durance",,,,
"200071041","CC du Chaourçois et du Val d'Armance",,,,
"200071058","CC Les Avant-Monts",,,"0_1",
"200071066","CA de Saint-Dié-Des-Vosges",,,,
"200071074","CC Les Portes de l'Ile de France","0_1",,,
"200071082","CA Montluçon Communauté",,"0_0",,
"200071116","CA Ecla (Espace Communautaire Lons Agglomération)",,,,
"200071140","CA Moulins Communauté",,,,
"200071157","CC des Hautes-Vosges",,"1_1",,"0_0"
"200071165","CA Les Sables d'Olonne Agglomération",,,"1_1","0_0"
"200071173","CC du Pays Arnay Liernais","1_0",,,
"200071181","CC Somme Sud-Ouest",,,,
"200071199","CC Plaine Limagne",,"1_1",,
"200071207","CC de Pouilly-en-Auxois/Bligny-sur-Ouche",,,,"0_0"
"200071215","CC Chavanon Combrailles et Volcans",,,"0_1",
"200071223","CC Nièvre et Somme",,"1_1",,
"200071298","CC des Terres du Lauragais",,,,"0_1"
"200071314","CC Save Garonne et Côteaux de Cadours",,"1_0","0_0","0_1"
"200071363","CA Vichy Communauté",,,,
"200071371","CC Bresse et Saône",,,,"0_0"
"200071389","CC Saint-Pourçain Sioule Limagne",,,"0_1",
"200071405","CC Ardèche Rhône Coiron",,,,
"200071413","CA Privas Centre Ardèche",,,,
"200071454","CA Evreux Portes de Normandie",,,,
"200071470","CC Entr'Allier Besbre et Loire",,,"1_1","0_0"
"200071496","CC du Bocage Bourbonnais",,,"1_1","0_0"
"200071504","CC des Collines du Perche Normand",,,"1_1","0_0"
"200071512","CC Commentry Montmarault Néris Communauté",,,"1_1","0_0"
"200071520","CC Domfront Tinchebray Interco",,"1_1",,
"200071538","CC Terres de Bresse","0_0",,,"0_0"
"200071546","CC Sud Retz Atlantique",,"1_1",,"0_0"
"200071553","CC Loire Layon Aubance",,,,"0_1"
"200071579","CC Bresse Louhannaise Intercom'",,"1_1","1_1",
"200071587","CC Loches Sud Touraine",,,,"0_0"
"200071595","CC Arbois, Poligny, Salins, Coeur du Jura",,,,
"200071629","CC Challans-Gois Communauté",,,"1_1","0_0"
"200071645","CC Saint Cyr Mère Boitier entre Charolais et Mâconnais",,"1_1",,"0_0"
"200071652","CC du Pays Fertois et du Bocage Carrougien",,"1_1",,"0_0"
"200071678","CA du Choletais",,,,
"200071751","CA du Bassin de Bourg-en-Bresse",,,,"0_1"
"200071769","CC Picardie des Châteaux",,"1_1",,"0_1"
"200071777","CC d'Arcis, Mailly, Ramerupt",,"0_1",,
"200071785","CA Chauny Tergnier la Fère",,,,"0_1"
"200071819","CC du Périgord Nontronnais",,,,
"200071827","CA du Grand Angoulême",,,,
"200071843","CC du Vexin Normand",,,"1_0","0_1"
"200071850","CC du Pithiverais-Gâtinais",,"1_1",,
"200071868","CC des Vallées du Haut-Anjou",,"1_1",,
"200071876","CA Saumur Val de Loire",,,,
"200071884","CC Le Grand Charolais",,,,
"200071892","CA du Saint-Quentinois",,,,"1_1"
"200071900","CC Vendée Grand Littoral",,,"1_1","0_0"
"200071918","CC du Pays de Saint-Fulgent - les Essarts",,"1_1",,
"200071926","CC du Limouxin",,,"1_1","0_0"
"200071934","CC Pays de Fontenay-Vendée",,,,
"200071942","CC Haut Limousin en Marche",,,,
"200071967","CC Pays d'Évian Vallée d'Abondance",,,,
"200071983","CC Thiérache Sambre et Oise",,,,
"200071991","CC Retz-en-Valois",,,"0_0","0_1"
"200072007","CC de la Montagne d'Ardèche",,,"1_1","0_0"
"200072015","CA Annonay Rhône Agglo",,"1_1",,
"200072023","CC Coeur de Charente",,,,"0_0"
"200072031","CA de la Région de Château-Thierry",,"1_1",,"0_1"
"200072049","CC de Charente Limousine",,,"1_1",
"200072056","CC Porte du Jura",,,"1_1","0_0"
"200072064","CC Val-de-Cher-Controis",,"1_1",,"0_0"
"200072072","CA Territoires Vendômois",,,"1_1","0_0"
"200072080","CC du Pays de Saint-Éloy",,,"0_1","0_0"
"200072098","CC Combrailles Sioule et Morge",,"1_1",,"0_0"
"200072106","CC Adour Madiran",,,"1_1",
"200072130","CA du Pays de Meaux",,,,
"200072304","CC Vallée de l'Ubaye - Serre-Ponçon",,"1_0",,"1_0"
"200072312","CA Seine Normandie Agglomération","1_1",,,"0_1"
"200072320","CC Val de Gers",,,,
"200072346","CA du Pays de Fontainebleau","1_1",,,"0_1"
"200072452","CA Fougères Agglomération",,,,
"200072460","CA de Béthune-Bruay, Artois-Lys Romane",,,,
"200072478","CC Pays d'Opale",,"0_1",,"0_1"
"200072544","CC des Deux Morin",,,,"0_1"
"200072635","CC Pyrénées Haut Garonnaises","1_0",,"1_1","0_0"
"200072643","CC Coeur et Coteaux du Comminges",,"1_0",,"0_0"
"200072650","CC Touraine Vallée de l'Indre",,,,"0_1"
"200072668","CC Touraine Val de Vienne",,,,"0_0"
"200072676","CC Maine Saosnois",,,"1_1",
"200072684","CC Le Gesnois Bilurien",,"1_1",,
"200072692","CC des Vallées de la Braye et de l'Anille",,,"1_1","0_0"
"200072700","CC Haute Sarthe Alpes Mancelles",,,,
"200072718","CC de la Champagne Conlinoise et du Pays de Sillé",,"1_1",,
"200072726","CC Châteaubriant-Derval",,"1_1",,
"200072734","CC Estuaire et Sillon","0_1",,"0_0","0_1"
"200072825","CC Mirebellois et Fontenois",,,,"0_1"
"200072874","CC Val Briard",,"1_0",,"0_1"
"200072882","CC de Vie et Boulogne",,,,
"200072981","CC Touraine Ouest Val de Loire",,,,
"200072999","CC du Grand Langres",,"1_1",,
"200073013","CC Carnelle Pays-De-France",,,"0_0","0_1"
"200073096","CA Hermitage-Tournonais-Herbasse-Pays de Saint-Félicien",,,,"0_1"
"200073104","CC de l'Ile-Rousse - Balagne",,"0_0","1_1","0_0"
"200073112","CC Sud Sarthe",,"1_1","1_1","0_0"
"200073120","CC Nebbiu - Conca d'Oro",,"0_0",,
"200073138","CC Pasquale Paoli",,,,"1_0"
"200073146","CC Cagire Garonne Salat",,"1_0","0_1","0_0"
"200073161","CC Touraine-Est Vallées","1_1","1_0","0_0","0_1"
"200073237","CC de Gâtine et Choisilles - Pays de Racan",,,,
"200073245","CC du Bassin d'Aubenas",,,"1_1",
"200073252","CC de la Castagniccia-Casinca",,,,
"200073260","CC Sud Vendée Littoral",,,,"0_0"
"200073344","CA Rambouillet Territoires",,,,
"200073393","CC des Rives du Haut-Allier",,,"1_1","0_0"
"200073401","CC Mézenc-Loire-Meygal",,,"1_1",
"200073419","CA du Puy-en-Velay",,"1_0",,
"200073427","CC Marches du Velay-Rochebaron",,"1_1",,"0_1"
"200077014","CA Vienne Condrieu",,,"0_0",
"200077055","CA Coulommiers Pays de Brie",,,"0_0",
"240100578","CC du Plateau d'Hauteville",,,"1_1",
"240100610","CC de la Côtière à Montluel",,,,"0_1"
"240100750","CC du Pays de Gex","1_1",,"0_0","0_1"
"240100800","CC de Miribel et du Plateau",,,,
"240100883","CC de la Plaine de l'Ain",,,,
"240100891","CC du Pays Bellegardien (Ccpb)",,,"0_0",
"240200444","CC de la Thiérache du Centre",,,,
"240200469","CC du Pays de la Serre",,"1_1",,
"240200477","CA du Soissonnais",,,,
"240200493","CC du Pays du Vermandois","0_0","1_1",,"0_1"
"240200501","CC du Val de l'Aisne",,,"1_0",
"240200519","CC du Canton d'Oulchy-le-Château",,,"0_0","0_1"
"240200576","CC de la Champagne Picarde",,,,
"240200584","CC du Canton de Charly-sur-Marne",,,"1_0",
"240200592","CC du Chemin des Dames",,"1_1",,
"240200600","CC des Trois Rivières",,,,"0_1"
"240200634","CC des Portes de la Thiérache",,"1_1",,"0_0"
"240300491","CC du Pays de Lapalisse",,"0_1","1_1","0_0"
"240300558","CC du Pays de Tronçais",,,,"0_0"
"240300566","CC du Val de Cher",,"1_1","0_1","1_0"
"240300657","CC du Pays d'Huriel",,,,"0_0"
"240400440","CC Pays Forcalquier et Montagne de Lure",,,"1_1",
"240500439","CC du Briançonnais",,"1_0","0_0",
"240500462","CC du Pays des Ecrins",,,,
"240600551","CA de la Riviera Française",,,,
"240600585","CA de Sophia Antipolis",,,,
"240600593","CC du Pays des Paillons",,,,
"240700302","CC du Pays Beaume-Drobie",,"1_0","1_1","0_0"
"240700617","CC Val de Ligne",,"0_0","0_1","0_1"
"240700716","CC du Val d'Ay",,"1_1",,
"240700815","CC Berg et Coiron","1_0","1_0",,
"240700864","CC du Rhône aux Gorges de l'Ardèche",,,,
"240800821","CC Ardenne, Rives de Meuse",,,,
"240800847","CC des Portes du Luxembourg",,"1_1",,
"240800862","CC des Crêtes Préardennaises",,,,"0_0"
"240800920","CC de l'Argonne Ardennaise",,,,"0_0"
"240900431","CC du Pays de Tarascon",,,"1_1","0_0"
"240900464","CC du Pays d'Olmes",,,"1_1",
"241000223","CC Forêts, Lacs, Terres en Champagne",,,,"0_1"
"241000405","CC de la Région de Bar-sur-Aube",,,"1_1",
"241000447","CC du Pays d'Othe",,,"1_1",
"241000488","CC de l'Orvin et de l'Ardusson",,,,"0_0"
"241100593","CA Le Grand Narbonne",,,,
"241200187","CA Rodez Agglomération",,,,
"241200542","CC du Réquistanais",,"0_0","1_1","0_0"
"241200567","CC de Millau Grands Causses",,,"1_1",
"241200625","CC du Pays Rignacois",,"1_0",,
"241200641","CC Conques-Marcillac",,,,
"241200658","CC du Pays de Salars","0_0","0_0",,
"241200674","CC du Plateau de Montbazens",,,"1_1","0_0"
"241200765","CC de Lévézou Pareloup",,"1_0","0_1","0_0"
"241200807","CC Aveyron Bas Ségala Viaur","0_0",,,"0_0"
"241200906","CC Larzac et Vallées",,,"0_1","0_0"
"241200914","CC de la Muse et des Raspes du Tarn","0_0",,,"0_0"
"241300375","CC Vallée des Baux-Alpilles (Cc Vba)",,,"0_1",
"241300417","CA d'Arles-Crau-Camargue-Montagnette",,,,
"241400415","CC Coeur Côte Fleurie",,,"1_1","0_0"
"241400514","CC du Pays de Falaise",,,,
"241400555","CC de Bayeux Intercom",,,,
"241400860","CC Coeur de Nacre",,,"1_1","0_1"
"241400878","CC Blangy-Pont-l'Evêque Intercom",,,,
"241500230","CA du Bassin d'Aurillac",,,,
"241500255","CC du Pays Gentiane",,,"1_1","0_0"
"241500271","CC du Pays de Mauriac",,,"1_1","0_0"
"241501055","CC Sumène - Artense",,,"1_1",
"241501089","CC Cère et Goul en Carladès","0_0",,"1_1","0_0"
"241501139","CC du Pays de Salers","1_0","1_0","0_1","0_0"
"241600303","CC du Rouillacais","1_0",,,"0_0"
"241700434","CA de la Rochelle",,,,"1_1"
"241700459","CC de l'Ile de Ré",,"1_0",,"0_0"
"241700517","CC Charente-Arnoult-Coeur de Saintonge",,,,"0_0"
"241700624","CC de l'Ile d'Oléron",,"0_0","1_1","0_0"
"241700632","CC de Gémozac et de la Saintonge Viticole",,,"1_1","0_0"
"241700640","CA Royan Atlantique",,,"1_1","0_0"
"241700699","CC du Bassin de Marennes",,,,
"241800325","CC Les Villages de la Forêt",,,,
"241800374","CC La Septaine",,,,
"241800424","CC Le Dunois",,,,"0_0"
"241800432","CC Les Trois Provinces",,,"1_1","0_0"
"241800457","CC Fercher Pays Florentais","0_0",,,"0_0"
"241800507","CA Bourges Plus",,,,
"241900133","CC de Ventadour - Egletons - Monédières",,,"0_1","1_1"
"241927201","CA Tulle Agglo",,"0_0",,
"241927243","CC du Pays d'Uzerche",,,,
"242000354","CA de Bastia","1_1",,,"0_1"
"242000495","CC de l'Alta Rocca",,,"0_1",
"242000503","CC Celavu-Prunelli",,"0_0","0_0",
"242010056","CA du Pays Ajaccien",,,,"0_1"
"242010130","CC du Sartenais Valinco",,,,"0_0"
"242020071","CC du Centre Corse",,"0_0","0_0","1_1"
"242020105","CC de Calvi Balagne",,,"1_0","0_0"
"242100154","CC des Vallées de la Tille et de l'Ignon",,,,
"242100410","Dijon Métropole","0_1",,"0_0","1_1"
"242101434","CC du Pays Châtillonnais",,,,"0_0"
"242101442","CC de Saulieu","1_0","0_1","1_1",
"242101459","CC du Pays d'Alésia et de la Seine","1_0","1_1",,"0_0"
"242101491","CC du Montbardois",,"1_1","1_1","0_0"
"242101509","CC Rives de Saône",,,,
"242200715","CC du Kreiz-Breizh (Cckb)",,,,"0_1"
"242400752","CC Périgord-Limousin",,,,
"242400935","CC du Pays de Saint-Aulaye","1_0",,,"0_0"
"242401024","CC Isle-Loue-Auvézère en Périgord",,,,"0_0"
"242500320","CC de Montbenoît",,"1_1","0_0","0_1"
"242500338","CC du Grand Pontarlier",,"1_1",,"0_0"
"242500361","CA du Grand Besançon","0_1",,,"1_1"
"242504116","CC du Val de Morteau","1_1","0_1","0_0",
"242504181","CC des Portes du Haut-Doubs",,,"0_0",
"242504355","CC du Plateau de Russey","0_0","1_1","0_0",
"242504371","CC du Pays de Sancey-Belleherbe",,"1_1",,
"242504447","CC du Doubs Baumois",,,,
"242504488","CC Altitude 800",,"1_1","0_0","1_1"
"242504496","CC du Plateau de Frasne et du Val de Drugeon (Cfd)",,"1_1",,
"242600252","CC du Val de Drôme",,,,
"242600492","CC Dieulefit-Bourdeaux",,"0_0","1_1","0_0"
"242600534","CC du Diois",,,"1_1","0_0"
"242700276","CC du Pays de Conches",,"1_1",,"0_1"
"242700607","CC du Pays du Neubourg",,"0_1","1_0",
"242700623","CC Eure-Madrie-Seine",,,,"0_1"
"242852465","CC du Bonnevalais",,"1_1",,"0_0"
"242900074","CC du Pays d'Iroise",,,,"0_1"
"242900314","Brest Métropole",,,,"1_1"
"242900553","CC du Pays des Abers",,,,"0_1"
"242900561","CC de Haute-Cornouaille",,,,"0_0"
"242900629","CC Cap Sizun - Pointe du Raz",,,"0_1",
"242900645","CC Douarnenez Communauté",,,"1_1",
"242900660","CC du Pays Fouesnantais",,"1_0","1_1",
"242900694","CA Quimperlé Communauté",,,,
"242900702","CC du Pays Bigouden Sud",,"0_0",,
"242900710","CC du Haut Pays Bigouden",,,,"0_0"
"242900744","CC Poher Communauté",,"1_1","1_1",
"242900751","CC du Pays de Landivisiau",,,,"0_1"
"242900769","CA Concarneau Cornouaille Agglomération",,,"1_1",
"242900793","CC Communauté Lesneven Côte des Légendes",,,,"0_1"
"242900801","CC du Pays de Landerneau-Daoulas",,,,"0_1"
"242900835","CA Morlaix Communauté",,,,
"243000270","CC du Pays Viganais",,"0_0","1_1","0_0"
"243000296","CC du Pays de Sommières","1_1",,"1_0","0_1"
"243000569","CC Rhony, Vistre, Vidourle",,"0_0",,"0_1"
"243000585","CC Beaucaire Terre d'Argence",,,,"0_1"
"243000593","CC de Petite Camargue",,,,
"243000643","CA de Nîmes Métropole",,,,
"243000650","CC Terre de Camargue",,,"1_1","0_0"
"243000684","CC du Pont du Gard","1_1",,"0_0","0_1"
"243100518","Toulouse Métropole","0_1",,"0_0","1_1"
"243100567","CC Lauragais Revel Sorezois",,,,
"243100633","CA du Sicoval","1_1",,"0_0",
"243100732","CC des Coteaux du Girou","1_1",,,"0_1"
"243100773","CC Val'Aïgo",,,"0_0",
"243100781","CC de la Save au Touch","1_1",,,"0_1"
"243100815","CC des Coteaux Bellevue","1_1",,,"0_1"
"243200391","CC de la Lomagne Gersoise",,"0_0","1_1","0_0"
"243200409","CC du Bas Armagnac",,"1_0","0_1","0_0"
"243200417","CC de la Tenarèze",,"1_0",,"0_0"
"243200425","CC Coeur d'Astarac en Gascogne",,,"1_1","0_0"
"243200458","CC du Grand Armagnac",,,,"0_0"
"243200508","CC Bastides et Vallons du Gers",,"1_0","0_1","0_0"
"243200599","CC du Saves",,"1_0",,"0_0"
"243200607","CC Artagnan de Fezensac",,"1_0","1_1","0_0"
"243300316","Bordeaux Métropole",,,"0_0","1_1"
"243300563","CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas)",,,"1_1",
"243300811","CC de l'Estuaire - Canton de Saint-Ciers-sur-Gironde",,"1_1",,"0_0"
"243301165","CC Jalle-Eau-Bourde","1_1","0_0","0_0","0_1"
"243301181","CC Latitude Nord Gironde",,,,
"243301215","CC du Créonnais","1_1",,,"0_1"
"243301223","CC Grand Cubzaguais",,,"0_0",
"243301249","CC du Secteur de Saint-Loubès",,,"0_0","0_1"
"243301264","CC de Montesquieu",,,"0_0","0_1"
"243301355","CC des Coteaux Bordelais",,"0_0","0_0",
"243301371","CC du Pays Foyen",,,"0_1","0_0"
"243301389","CC Médullienne","1_1",,"0_0",
"243301397","CC du Fronsadais",,"1_1","0_0",
"243301405","CC du Val de l'Eyre",,,"0_0","0_1"
"243301439","CC des Portes de l'Entre-deux-Mers","1_1","0_0",,"0_1"
"243301447","CC Médoc Estuaire",,,"0_0",
"243301454","CC Castillon/Pujols",,,,
"243301504","CA du Bassin Nord",,,,
"243400017","Montpellier Méditerranée Métropole",,,"0_0","1_1"
"243400355","CC du Clermontais",,,,
"243400470","CA du Pays de l'Or",,,,
"243400488","CC La Domitienne",,"1_0",,
"243400520","CC du Pays de Lunel",,,,"0_1"
"243400694","CC Vallée de l'Hérault","1_1","1_0","0_0","0_1"
"243400736","CC des Cévennes Gangeoises et Suménoises",,,"1_1",
"243400769","CA de Béziers-Méditerranée",,,"1_1",
"243400819","CA Hérault-Méditerranée",,,"1_1",
"243500139","Rennes Métropole","0_1",,"0_0","1_1"
"243500550","CC Montfort Communauté","1_1",,,"0_1"
"243500618","CC de Brocéliande",,,"0_0","0_1"
"243500634","CC Au Pays de la Roche aux Fées",,,"1_0","0_1"
"243500659","CC Pays de Châteaugiron Communauté","0_1",,,"0_1"
"243500667","CC du Val d'Ille-Aubigné","1_1",,,"0_1"
"243500725","CC Côte d'Émeraude",,,"1_1","0_0"
"243500733","CC Bretagne Romantique",,,"0_0",
"243500741","CA Redon Agglomération",,,,
"243500774","CC Liffré-Cormier Communauté","1_1",,"0_0",
"243500782","CA du Pays de Saint-Malo - Saint-Malo Agglomération",,"1_0",,
"243600202","CC Chabris - Pays de Bazelle",,"1_1","1_1","0_0"
"243600236","CC du Pays d'Issoudun",,"0_1",,
"243600293","CC de la Région de Levroux",,,"1_1",
"243600301","CC Val de l'Indre - Brenne",,"1_1","0_1","0_0"
"243600319","CC Brenne - Val de Creuse",,,,"0_0"
"243600327","CA Châteauroux Métropole",,,,
"243600343","CC Coeur de Brenne","0_0","0_0",,
"243600350","CC de la Châtre et Sainte-Sévère",,"1_0","1_1","0_0"
"243700499","CC du Castelrenaudais",,"1_1",,
"243700754","Tours Métropole Val de Loire",,,,"1_1"
"243700820","CC de Bléré Val de Cher",,,,
"243800604","CA Porte de l'Isère (C.A.P.I)",,,,"0_1"
"243800745","CC de l'Oisans",,,"1_0","0_0"
"243800778","CC du Pays Roussillonnais",,,,"0_1"
"243800844","CC du Territoire de Beaurepaire",,"1_1",,
"243800935","CC Lyon Saint-Éxupéry-en-Dauphiné",,"1_1","0_0","0_1"
"243800984","CA du Pays Voironnais","1_1",,,"0_1"
"243801024","CC du Massif du Vercors","1_1","0_0","1_0","0_1"
"243801073","CC de Bièvre Est",,,,"0_1"
"243801255","CC des Collines du Nord Dauphiné",,,,"0_1"
"243900354","CC de la Station des Rousses-Haut Jura",,"1_1","0_0","0_0"
"243900412","CC Jura Sud",,"0_1",,
"243900420","CC du Val d'Amour",,,,
"243900479","CC du Haut-Jura (Arcade)",,,"1_0",
"243900560","CC Jura Nord",,,,
"243900610","CC La Grandvallière",,"0_1","1_0","0_0"
"243900719","CC du Pays des Lacs",,,,
"243901071","CC de la Région d'Orgelet",,"1_1",,"0_0"
"243901089","CC de la Plaine Jurassienne",,"1_1","1_1","0_0"
"244000543","CC de Mimizan","0_0",,"1_1",
"244000659","CC du Seignanx",,,,
"244000675","CA du Grand Dax",,,,
"244000691","CC du Pays Morcenais",,,"1_1",
"244000766","CC du Pays Tarusate",,,,"0_0"
"244000774","CC du Pays de Villeneuve en Armagnac Landais","1_0",,,"0_0"
"244000808","CA Mont-de-Marsan Agglomération",,,,
"244000824","CC du Pays Grenadois","0_0",,,
"244000857","CC Côte Landes Nature","0_0",,"1_1","0_0"
"244000865","CC Maremne Adour Côte Sud",,,,"0_0"
"244000873","CC des Grands Lacs",,,,"0_0"
"244000881","CC Coteaux et Vallées des Luys",,,"1_1","0_0"
"244100293","CC des Collines du Perche","1_0",,,"0_0"
"244100780","CC de la Sologne des Étangs",,,"1_1","0_0"
"244100798","CC du Grand Chambord",,,,
"244100806","CC de la Sologne des Rivières",,,"1_1","0_0"
"244200614","CC des Vals d'Aix et Isable",,,,"0_0"
"244200622","CC des Monts du Pilat","1_1",,,
"244200630","CC du Pays entre Loire et Rhône",,"1_1",,
"244200770","Saint-Etienne Métropole",,,,"1_1"
"244200820","CC du Pays d'Urfé",,,,"0_0"
"244200895","CC du Pilat Rhodanien","1_1",,,"0_1"
