"codepci","libepci","cat_cs3","cat_cs6","cat_cs7","cat_cs8"
"200035715","CA Carcassonne Agglo",,,,
"200035723","CC Ventoux Sud",,,,"0_0"
"200035731","CA Roannais Agglomération",,,"1_1",
"200035756","CC Astarac Arros en Gascogne",,,"1_1","0_0"
"200035764","CC de la Beauce Loirétaine",,,,
"200035772","CC du Pays du Saintois",,,"1_0","0_1"
"200035814","CA Flers Agglo",,,,
"200035848","CC du Châtillonnais en Berry",,,"1_1",
"200035855","CC Castelnaudary Lauragais Audois",,,,
"200035863","CC Région Lézignanaise, Corbières et Minervois",,,"1_1","0_0"
"200035970","CC Vexin Centre","0_1",,"0_0","0_1"
"200036069","CC du Pays de Mortagne-au-Perche",,,"0_1",
"200036077","CC du Golfe de Saint-Tropez",,,,"0_0"
"200036135","CC Coeur de France",,,"1_1","0_0"
"200036150","CC des Hauts du Val de Saône",,"1_1","0_1",
"200036465","CC de Thann-Cernay","1_1",,,"0_1"
"200036473","CA de Saintes",,,"1_1",
"200036499","CC de Marana-Golo",,,"0_0",
"200036523","CC des Bastides en Haut-Agenais Périgord",,,"1_1","0_0"
"200036549","CC Val de Gray",,"1_1",,
"200036572","CC Porte d'Aquitaine en Pays de Serres","0_0",,,"0_0"
"200037059","CC de la Haute Somme (Combles - Péronne - Roisel)",,,,
"200037133","CC du Provinois",,,,
"200038958","CC de la Pieve de l'Ornano",,,"1_1","0_0"
"200038990","CC de Saint-Méen Montauban",,"1_1","1_0","0_1"
"200039022","CA Vitré Communauté",,,,"0_1"
"200039055","CC Ouche et Montagne",,"1_0","0_0",
"200039063","CC Forêts, Seine et Suzon",,"1_0",,"0_1"
"200039204","CC de Lacq-Orthez",,,,
"200039519","CC du Quercy Blanc",,,"0_1","0_0"
"200039642","CC Le Tonnerrois en Bourgogne",,,"1_1","0_0"
"200039709","CC du Serein",,,"0_1","1_0"
"200039758","CC Avallon, Vézelay, Morvan",,,,"0_0"
"200039808","CC des Gorges de l'Ardèche",,,"1_1","0_0"
"200039824","CC Ardèche des Sources et Volcans",,,"1_1",
"200039832","CC Pays des Vans en Cévennes",,"0_0","1_1","0_0"
"200039857","CA du Pays de Grasse",,,"1_0",
"200039865","Metz Métropole",,,,"1_1"
"200039907","CC du Sud Messin",,"1_0","0_0","0_1"
"200039915","CA Cannes Pays de Lérins",,,,"0_0"
"200039931","CC Alpes d'Azur",,"1_0","0_1","0_0"
"200039949","CC Rives de Moselle",,,,
"200040038","CC Saône Doubs Bresse",,"1_1",,
"200040095","CC Isle Vern Salembre en Périgord",,,"1_1","0_0"
"200040111","CC Coeur de Chartreuse","1_1",,"0_0","0_0"
"200040137","CC des Lacs de Champagne",,"1_1","1_1",
"200040178","CC de l'Outre-Forêt",,"1_1",,"0_0"
"200040202","CC Provence Verdon",,,,
"200040210","CC Lacs et Gorges du Verdon",,"1_0","0_1","0_0"
"200040244","CA du Bocage Bressuirais",,"1_1",,
"200040251","CC Bassée-Montois",,,,"0_1"
"200040277","CA du Pays de Dreux",,"1_1",,"0_1"
"200040293","CC du Clunisois",,"0_0","1_1","0_1"
"200040350","CC Bugey Sud",,,,
"200040384","CC Isle Double Landais",,,,
"200040392","CA Le Grand Périgueux",,,,
"200040400","CC du Pays Ribéracois",,"0_0","1_1","0_0"
"200040418","CC du Pays de Serres en Quercy","0_0","1_0","1_1",
"200040426","CC du Val de l'Oise",,,,
"200040442","CA Luberon Monts de Vaucluse",,,,
"200040459","CA Montélimar Agglomération",,,,
"200040475","CC Loué - Brûlon - Noyen",,"1_1",,
"200040491","CC Porte de Drômardèche",,,,
"200040509","CC du Crestois et de Pays de Saillans Coeur de Drôme",,,,
"200040558","CC Écueillé-Valençay",,,"1_1",
"200040566","CA de l'Ouest Rhodanien",,,,
"200040574","CC Beaujolais Pierres Dorées","1_1",,,"0_1"
"200040590","CA Villefranche Beaujolais Saône",,,,
"200040624","CC Pays d'Apt-Luberon",,,,"0_0"
"200040657","CC de la Matheysine",,,,
"200040681","CC Enclave des Papes-Pays de Grignan",,,"1_1",
"200040715","Métropole Grenoble-Alpes-Métropole","0_1",,,"1_1"
"200040764","CC du Sud Corse",,,"1_0",
"200040772","CC du Perche et Haut Vendômois",,"1_1","1_1","0_0"
"200040798","CC Val Vanoise",,,"1_0",
"200040814","CC Briance Sud Haute Vienne",,,,"0_0"
"200040830","CC du Pays de Fénelon","0_0",,,"1_0"
"200040889","CC de Portes Sud Périgord",,"0_0","1_1","0_0"
"200040905","CC Carmausin-Ségala",,,"0_1",
"200040947","CC de Flandre Intérieure",,,,"0_1"
"200040954","CC des Hauts de Flandre",,"1_1","0_0","0_1"
"200041010","CC Coeur de Savoie","1_1",,,"0_1"
"200041051","CC Vallée de la Dordogne et Forêt Bessède","0_0",,"1_1",
"200041150","CC du Terrassonnais en Périgord Noir Thenon Hautefort",,,"1_1","0_0"
"200041168","CC de la Vallée de l'Homme",,"0_0","1_1","0_0"
"200041283","CC de la Plaine du Rhin",,,,"0_0"
"200041317","CA du Niortais","1_1",,,
"200041325","CC du Pays Rhénan",,,,
"200041333","CC de Parthenay-Gâtine",,,,"0_0"
"200041366","CC Rhône Crussol",,,,"0_1"
"200041416","CC Airvaudais-Val du Thouet",,,,
"200041440","CC de Domme - Villefranche du Périgord",,,,"0_0"
"200041465","CC Val Eyrieux","1_0",,"1_1","0_0"
"200041499","CC Aunis Atlantique",,,"0_0","0_0"
"200041507","CA La Riviera du Levant",,,"1_0","0_1"
