DEP_ACTU,DEP_ANTE,nb_ind,pct_ind_ACTU,pct_ind_ANTE,cas_MIG
01,01,594009.948557329,0.967587094965078,0.971234814814249,ISO
01,02,34.0135535794458,5.54049230611475e-05,6.36848853720855e-05,MIG
01,03,71.3035045747813,0.000116146793534188,0.000211505772622445,MIG
01,05,64.3993750351662,0.000104900607067575,0.000468068289474447,MIG
01,06,144.702323413753,0.000235706659605041,0.000135753531585511,MIG
01,07,71.9668117421665,0.000117227259369345,0.00022737569621902,MIG
01,08,28.0192913969255,4.56408261032932e-05,0.000101056344017087,MIG
01,09,37.886524822695,6.17136338887022e-05,0.000252942592407109,MIG
01,10,44.1021506848218,7.1838311742889e-05,0.000145181381029112,MIG
01,11,52.9372813634271,8.62299199099086e-05,0.000147779433434805,MIG
01,12,11.6675932436785,1.90054268944546e-05,4.25959429850917e-05,MIG
01,13,373.516754741904,0.000608424139224029,0.00018895226538617,MIG
01,14,57.566828889346,9.37710233080688e-05,8.43874099937474e-05,MIG
01,15,9.62071582083097,1.56712534784491e-05,6.64905487066997e-05,MIG
01,16,67.7257421893953,0.000110318950547116,0.000194535874812326,MIG
01,17,69.7778182483669,0.000113661592059047,0.000111712234871506,MIG
01,18,49.4525690194846,8.05536468073229e-05,0.000161017317376528,MIG
01,19,24.9209071341446,4.0593845602056e-05,0.000104495504141803,MIG
01,21,218.113620739441,0.000355286851973023,0.000416400224897149,MIG
01,22,39.2181059351712,6.38826559790903e-05,6.67345547944382e-05,MIG
01,23,21.2851994141328,3.46716150409482e-05,0.000179615582879699,MIG
01,24,23.6000277198807,3.84422555851703e-05,5.76693846707656e-05,MIG
01,25,220.863934786778,0.000359766858386665,0.00042060654251492,MIG
01,26,236.629486766846,0.000385447479861043,0.000482313135326983,MIG
01,27,39.2944885429719,6.40070761605489e-05,6.67139967589691e-05,MIG
01,28,25.8698257227058,4.21395459437662e-05,6.04110481345195e-05,MIG
01,29,83.0868570930372,0.00013534078154698,9.31751434562608e-05,MIG
01,2A,34.8486007974448,5.67651375050043e-05,0.000233779418243704,MIG
01,2B,12.9240389138379,2.10520603202475e-05,7.69699705425878e-05,MIG
01,30,92.2398320116339,0.000150250128491897,0.000127416637125002,MIG
01,31,107.222547510832,0.000174655581969176,8.34433034932633e-05,MIG
01,32,15.1823231106186,2.47305957570285e-05,8.11868615339038e-05,MIG
01,33,149.181681805503,0.000243003118837934,0.000100150616305169,MIG
01,34,133.884686304469,0.000218085732396028,0.000123715868487097,MIG
01,35,68.0642355045632,0.000110870324752689,6.7485710967122e-05,MIG
01,36,35.6400204358938,5.8054286669467e-05,0.000159454169646842,MIG
01,37,66.5372431912832,0.000108382995946111,0.000112024772929341,MIG
01,38,1433.44063337169,0.00233494179957351,0.001174768069162,MIG
01,39,619.386161711944,0.00100892259183196,0.00240949489383119,MIG
01,40,44.6712805514452,7.27653714927155e-05,0.000113613483487335,MIG
01,41,24.5178417150599,3.99372894300926e-05,7.45879676487785e-05,MIG
01,42,436.233701960118,0.000710584227470586,0.000585422585660644,MIG
01,43,52.4420545601664,8.54232413936992e-05,0.000234788868464691,MIG
01,44,58.4040192337026,9.51347287059265e-05,4.43730595708492e-05,MIG
01,45,92.8497977059746,0.000151243706016396,0.000140978619338421,MIG
01,46,4.99827959213699,8.14173372369421e-06,2.93464303636894e-05,MIG
01,47,50.3987245362305,8.2094846361399e-05,0.000153526294856874,MIG
01,48,4.44279263259365,7.23689700373538e-06,5.93159178912751e-05,MIG
01,49,66.5613028864752,0.000108422186957361,8.43139590145821e-05,MIG
01,50,84.5714278481773,0.000137759009571149,0.000171141474678462,MIG
01,51,180.938621517908,0.000294732227274475,0.000322171713468068,MIG
01,52,18.4973545560083,3.01304744185775e-05,0.00010311301454764,MIG
01,53,8.30286230893357,1.35245923757803e-05,2.74215166417912e-05,MIG
01,54,172.86205484939,0.000281576249501608,0.000239559604271058,MIG
01,55,4.99300982259664,8.13314975803325e-06,2.62476761428085e-05,MIG
01,56,32.0563543783291,5.22168271481484e-05,4.40705495115093e-05,MIG
01,57,109.544418388577,0.000178437694209784,0.00010626352569422,MIG
01,58,68.8114999689984,0.000112087549235325,0.000326243735165785,MIG
01,59,206.25461496551,0.000335969631825717,8.03528731442474e-05,MIG
01,60,82.55912509281,0.000134481155080689,0.000102257846535498,MIG
01,61,9.93614644506279,1.61850607002048e-05,3.4799744099628e-05,MIG
01,62,203.188735818387,0.000330975599142117,0.000139598520741599,MIG
01,63,77.5581262590549,0.000126334991964686,0.000122918040619565,MIG
01,64,60.0752618489805,9.7857027871161e-05,9.17899168559249e-05,MIG
01,65,13.0371040765969,2.12362329803881e-05,5.74872065134713e-05,MIG
01,66,67.9459499269285,0.000110677648521057,0.000148750087784429,MIG
01,67,146.636811024486,0.000238857760444448,0.000133910920161747,MIG
01,68,100.382056792579,0.000163513057238261,0.000133975834847485,MIG
01,69,6619.74091310109,0.0107829437791155,0.00374624835045508,MIG
01,70,28.7481259370315,4.68280299490942e-05,0.000122063591659726,MIG
01,71,1509.31795961982,0.00245853892426216,0.00274710760471069,MIG
01,72,16.7906262875897,2.73503724166755e-05,2.99473997876227e-05,MIG
01,73,696.373906267998,0.0011343284849215,0.00165960410582697,MIG
01,74,1393.35932442137,0.00226965306596925,0.00182763846193409,MIG
01,75,360.30758869451,0.00058690763325683,0.000164113058677415,MIG
01,76,95.8560493908584,0.000156140611096143,7.71920511520078e-05,MIG
01,77,175.296345159988,0.000285541482568249,0.000129372828193756,MIG
