CS1,DEP_ACTU,DEP_ANTE,nb_ind,pct_ind_RES,pct_ind_DCRAN,cas_MIG
1,01,01,3676.19719460054,0.993431771766925,0.993129061659315,ISO
1,01,23,3.90219428664537,0.00105450376537326,0.000862229344624542,MIG
1,01,34,5,0.00135116768657846,0.000777363846018847,MIG
1,01,69,4.15984806954624,0.00112413045852933,0.000742644763676944,MIG
1,01,71,5.14810538528818,0.00139119072874038,0.00067413880935937,MIG
1,01,73,6.095600162054,0.00164723559385395,0.00291871129939589,MIG
1,02,02,4648.74989046804,0.997976535533028,0.994979698168254,ISO
1,02,51,4.00629785379574,0.000860057294250763,0.000417167109742754,MIG
1,02,80,5.41935483870968,0.00116340717272168,0.00110032589000746,MIG
1,03,03,5427.64312140185,0.992865660875175,0.997560698186476,ISO
1,03,17,4.96610169491525,0.000908437001293089,0.000639077622892443,MIG
1,03,25,4.08987348081796,0.000748150688171882,0.00104196171803571,MIG
1,03,34,3.81395348837209,0.000697677309668381,0.000592965910451585,MIG
1,03,63,13.0826702461841,0.00239318130345951,0.00209051502865296,MIG
1,03,75,5.00597465687776,0.000915730866023041,0.0111858486796527,MIG
1,03,77,3.95762814730544,0.00072395936838193,0.00140699411446829,MIG
1,03,93,4.08469055374593,0.00074720258782749,0.0256627929015147,MIG
1,04,04,2115.14274710792,0.980961100300122,0.992357067921796,ISO
1,04,06,8.95918367346939,0.00415509103871797,0.00556308890154485,MIG
1,04,09,4.95162429350299,0.00229646477613347,0.00217079748772909,MIG
1,04,13,13.181575644735,0.00611335238050899,0.00302957227032999,MIG
1,04,21,5,0.00231890046579932,0.00096684030060771,MIG
1,04,33,3.95918367346939,0.00183619057291865,0.000485733666273655,MIG
1,04,66,5,0.00231890046579932,0.00166375720134139,MIG
1,05,05,1729.50994010951,1,0.99033457105172,ISO
1,06,06,1574.89801036276,0.995549671255065,0.977912493128004,ISO
1,06,36,4.40358406215822,0.00278366385415386,0.00109621087384512,MIG
1,06,80,2.63656078267177,0.00166666489078126,0.00053531761179949,MIG
1,07,04,4.04395604395604,0.00100593253021993,0.00189729434009689,MIG
1,07,07,3982.65752734003,0.990684547490143,0.998489299858563,ISO
1,07,21,3.98317560462671,0.000990813419018463,0.000770218939790117,MIG
1,07,26,4.07380998217578,0.0010133586860149,0.000734925654845075,MIG
1,07,30,4.07857142857143,0.00101454309399763,0.00078290348514012,MIG
1,07,43,12.9191919191919,0.00321364408376614,0.00285094675462713,MIG
1,07,66,4.30117674012529,0.00106991608071109,0.00143122275512511,MIG
1,07,74,4.04923076923077,0.00100724461612892,0.00134416637524055,MIG
1,08,02,4.90566037735849,0.00169515272715797,0.00104996667848024,MIG
1,08,08,2868.63498297254,0.991257861439047,0.996479719039521,ISO
1,08,51,5,0.00172775181806485,0.000520639159851173,MIG
1,08,55,7.39937198637472,0.00255685568039941,0.00242672217951346,MIG
1,08,77,7.99414101738534,0.00276237833533087,0.0028420328901665,MIG
1,09,09,2262.96534641492,0.993445397907183,0.992086474585945,ISO
1,09,11,5.01903736950806,0.0022033654136866,0.000989744234396008,MIG
1,09,30,3.94459833795014,0.00173168496443709,0.000757186637611685,MIG
1,09,31,5.96706650006245,0.00261955171469349,0.00128916095500715,MIG
1,10,10,4337.42456915521,0.993174217269528,0.995085743020826,ISO
1,10,15,5.05870354282511,0.00115833113670089,0.000802410714634715,MIG
1,10,21,3.90599583317513,0.000894386586422485,0.000755294837103901,MIG
1,10,30,5.01420454545455,0.00114814185129012,0.000962503239821106,MIG
1,10,51,5,0.00114488932479922,0.000520639159851173,MIG
1,10,75,5.14583333333333,0.00117828193010586,0.011498362844945,MIG
1,10,78,0.95956543749589,0.000219719245167067,0.000989914660165086,MIG
1,10,89,4.72549019607843,0.00108203265598671,0.00112959365716936,MIG
