"id","type_mob","value"
1,"mob_com",1
2,"mob_com",1
3,"mob_com",1
4,"mob_com",1
5,"mob_com",1
6,"mob_com",1
7,"mob_com",1
8,"mob_com",1
9,"mob_com",1
10,"mob_com",1
11,"mob_com",1
12,"mob_com",1
13,"mob_com",1
14,"mob_com",1
15,"mob_com",1
16,"mob_com",1
17,"mob_com",1
18,"mob_com",1
19,"mob_com",1
20,"mob_com",1
41,"mob_dep",1
42,"mob_dep",1
43,"mob_dep",1
44,"mob_dep",1
45,"mob_dep",1
46,"mob_dep",1
47,"mob_dep",1
48,"mob_dep",1
49,"mob_dep",1
50,"mob_dep",1
51,"mob_dep",1
52,"mob_dep",1
53,"mob_dep",1
54,"mob_dep",1
55,"mob_dep",1
56,"mob_dep",1
57,"mob_dep",1
58,"mob_dep",1
59,"mob_dep",1
60,"mob_dep",1
61,"mob_dep",1
82,"mob_reg",1
83,"mob_reg",1
84,"mob_reg",1
85,"mob_reg",1
86,"mob_reg",1
87,"mob_reg",1
94,"mob_france",1
95,"mob_france",1
96,"mob_france",1
97,"mob_france",1
98,"mob_france",1
99,"mob_france",1
100,"mob_france",1
101,"mob_france",1
110,"mob_all",1
111,"mob_all",1
114,"immob",0
115,"immob",0
116,"immob",0
117,"immob",0
118,"immob",0
119,"immob",0
120,"immob",0
121,"immob",0
122,"immob",0
123,"immob",0
124,"immob",0
125,"immob",0
126,"immob",0
127,"immob",0
128,"immob",0
129,"immob",0
130,"immob",0
131,"immob",0
132,"immob",0
133,"immob",0
134,"immob",0
135,"immob",0
136,"immob",0
137,"immob",0
138,"immob",0
139,"immob",0
140,"immob",0
141,"immob",0
142,"immob",0
143,"immob",0
144,"immob",0
145,"immob",0
146,"immob",0
147,"immob",0
148,"immob",0
149,"immob",0
150,"immob",0
151,"immob",0
152,"immob",0
153,"immob",0
154,"immob",0
155,"immob",0
156,"immob",0
157,"immob",0
158,"immob",0
159,"immob",0
160,"immob",0
161,"immob",0
162,"immob",0
163,"immob",0
164,"immob",0
165,"immob",0
166,"immob",0
167,"immob",0
168,"immob",0
169,"immob",0
170,"immob",0
171,"immob",0
172,"immob",0
173,"immob",0
174,"immob",0
175,"immob",0
176,"immob",0
177,"immob",0
178,"immob",0
179,"immob",0
180,"immob",0
181,"immob",0
182,"immob",0
183,"immob",0
184,"immob",0
185,"immob",0
186,"immob",0
187,"immob",0
188,"immob",0
189,"immob",0
190,"immob",0
191,"immob",0
192,"immob",0
193,"immob",0
194,"immob",0
195,"immob",0
196,"immob",0
197,"immob",0
198,"immob",0
199,"immob",0
200,"immob",0
201,"immob",0
202,"immob",0
203,"immob",0
204,"immob",0
205,"immob",0
206,"immob",0
207,"immob",0
208,"immob",0
209,"immob",0
210,"immob",0
211,"immob",0
212,"immob",0
213,"immob",0
214,"immob",0
215,"immob",0
216,"immob",0
217,"immob",0
218,"immob",0
219,"immob",0
220,"immob",0
221,"immob",0
222,"immob",0
223,"immob",0
224,"immob",0
225,"immob",0
226,"immob",0
227,"immob",0
228,"immob",0
229,"immob",0
230,"immob",0
231,"immob",0
232,"immob",0
233,"immob",0
234,"immob",0
235,"immob",0
236,"immob",0
237,"immob",0
238,"immob",0
239,"immob",0
240,"immob",0
241,"immob",0
242,"immob",0
243,"immob",0
244,"immob",0
245,"immob",0
246,"immob",0
247,"immob",0
248,"immob",0
249,"immob",0
250,"immob",0
251,"immob",0
252,"immob",0
253,"immob",0
254,"immob",0
255,"immob",0
256,"immob",0
257,"immob",0
258,"immob",0
259,"immob",0
260,"immob",0
261,"immob",0
262,"immob",0
263,"immob",0
264,"immob",0
265,"immob",0
266,"immob",0
267,"immob",0
268,"immob",0
269,"immob",0
270,"immob",0
271,"immob",0
272,"immob",0
273,"immob",0
274,"immob",0
275,"immob",0
276,"immob",0
277,"immob",0
278,"immob",0
279,"immob",0
280,"immob",0
281,"immob",0
282,"immob",0
283,"immob",0
284,"immob",0
285,"immob",0
286,"immob",0
287,"immob",0
288,"immob",0
289,"immob",0
290,"immob",0
291,"immob",0
292,"immob",0
293,"immob",0
294,"immob",0
295,"immob",0
296,"immob",0
297,"immob",0
298,"immob",0
299,"immob",0
300,"immob",0
301,"immob",0
302,"immob",0
303,"immob",0
304,"immob",0
305,"immob",0
306,"immob",0
307,"immob",0
308,"immob",0
309,"immob",0
310,"immob",0
311,"immob",0
312,"immob",0
313,"immob",0
314,"immob",0
315,"immob",0
316,"immob",0
317,"immob",0
318,"immob",0
319,"immob",0
320,"immob",0
321,"immob",0
322,"immob",0
323,"immob",0
324,"immob",0
325,"immob",0
326,"immob",0
327,"immob",0
328,"immob",0
329,"immob",0
330,"immob",0
331,"immob",0
332,"immob",0
333,"immob",0
334,"immob",0
335,"immob",0
336,"immob",0
337,"immob",0
338,"immob",0
339,"immob",0
340,"immob",0
341,"immob",0
342,"immob",0
343,"immob",0
344,"immob",0
345,"immob",0
346,"immob",0
347,"immob",0
348,"immob",0
349,"immob",0
350,"immob",0
351,"immob",0
352,"immob",0
353,"immob",0
354,"immob",0
355,"immob",0
356,"immob",0
357,"immob",0
358,"immob",0
359,"immob",0
360,"immob",0
361,"immob",0
362,"immob",0
363,"immob",0
364,"immob",0
365,"immob",0
366,"immob",0
367,"immob",0
368,"immob",0
369,"immob",0
370,"immob",0
371,"immob",0
372,"immob",0
373,"immob",0
374,"immob",0
375,"immob",0
376,"immob",0
377,"immob",0
378,"immob",0
379,"immob",0
380,"immob",0
381,"immob",0
382,"immob",0
383,"immob",0
384,"immob",0
385,"immob",0
386,"immob",0
387,"immob",0
388,"immob",0
389,"immob",0
390,"immob",0
391,"immob",0
392,"immob",0
393,"immob",0
394,"immob",0
395,"immob",0
396,"immob",0
397,"immob",0
398,"immob",0
399,"immob",0
400,"immob",0
401,"immob",0
402,"immob",0
403,"immob",0
404,"immob",0
405,"immob",0
406,"immob",0
407,"immob",0
408,"immob",0
409,"immob",0
410,"immob",0
411,"immob",0
412,"immob",0
413,"immob",0
414,"immob",0
415,"immob",0
416,"immob",0
417,"immob",0
418,"immob",0
419,"immob",0
420,"immob",0
421,"immob",0
422,"immob",0
423,"immob",0
424,"immob",0
425,"immob",0
426,"immob",0
427,"immob",0
428,"immob",0
429,"immob",0
430,"immob",0
431,"immob",0
432,"immob",0
433,"immob",0
434,"immob",0
435,"immob",0
436,"immob",0
437,"immob",0
